case_number,source,prompt,evaluation_seed,coco_id
5120,coco-30k,The child stands beside a toilet bowl with a light inside it.,58226,306755
5121,coco-30k,A store with a taxi and bus parked out front,83220,258112
5122,coco-30k,A woman riding a bike with a basket on it.,68817,144333
5123,coco-30k,Your guess is as good as mine as to what these objects are.,96459,348216
5124,coco-30k,"A game at an outdoor fair called ""Ball In The Bog""",28229,110042
5125,coco-30k,A picture of a messy desk with an open laptop.,76996,9527
5126,coco-30k,A couple of giraffe standing around a tree.,44915,504487
5127,coco-30k,A large group of people on bikes on a road.,40994,241291
5128,coco-30k,a small bathroom with a toilet in it,31441,355418
5129,coco-30k,A white toilet filled with bags of garbage.,34578,250246
5130,coco-30k,A small bed laying on top of a table.,66318,524361
5131,coco-30k,A dog driving a car down a street past a truck.,66745,521869
5132,coco-30k,A small white airplane flying high up in the sky.,81303,137031
5133,coco-30k,A city street at night filled with lots of traffic.,96367,265243
5134,coco-30k,A toilet and towel rack are in a bathroom.,78972,117914
5135,coco-30k,A white cake with chocolate being poured over the top of it.,62123,392991
5136,coco-30k,A woman playing  with a toilet seat and putting a normal chair over it.,92199,149780
5137,coco-30k,A woman holding onto a pink bag of luggage.,98823,530207
5138,coco-30k,A bathroom that has a special shelf for towels. ,44362,220741
5139,coco-30k,A man in a dress riding a tiger motorcycle.,29595,98656
5140,coco-30k,A wooden door in front of an entrance next to a black cat.,40249,466339
5141,coco-30k,A person is driving a speedboat quickly through the water.,73848,301641
5142,coco-30k,A herd of sheep standing on top of a grass covered field.,45543,437931
5143,coco-30k,The woman stands cooking at a pot over a fire.,2731,268059
5144,coco-30k,The woman is tying her shoe on a bench next to a parked bicycle.,10036,328818
5145,coco-30k,A white toilet sitting in a bathroom under a white cabinet.,77705,389128
5146,coco-30k,There is an indoor toilet underneath a sign that says please flush. ,86092,394328
5147,coco-30k,The dog with a cartoon collar is looking out of a car window.,63211,35489
5148,coco-30k,A man on a motorcycle going down the street.,39841,421370
5149,coco-30k,A couple of people standing at a counter with some food.,56335,225913
5150,coco-30k,a toilet sits next to a shower an sink ,85738,72428
5151,coco-30k,A view of a kitchen with a bunch of cleaning supplies around it.,98663,538934
5152,coco-30k,A cat climbing into a cat door on a wall.,57495,456292
5153,coco-30k,The jet is flying high in sky threw the sun,35431,294030
5154,coco-30k,This is a case full of yellow bananas. ,12733,74331
5155,coco-30k,A teenager wheeling a suitcase down a crowded street.,81340,101491
5156,coco-30k,A man sitting on a green bench in the park,28903,198645
5157,coco-30k,A dog is posing on top of a motorcycle. ,14754,263146
5158,coco-30k,This is an air show put on by the US Navy Blue Angels. ,96298,306229
5159,coco-30k,This photo has a blurry background but you can see some nice wooden benches in the foreground.,43355,119861
5160,coco-30k,Extra hands would be a help for this messy kitchen.,12774,264032
5161,coco-30k,A cat sits curiously perched in an empty cup,92281,459598
5162,coco-30k,A toilet with a red seat sitting next to a paper towel dispenser.,75632,82530
5163,coco-30k,A cat and a metal bowl on a wooden platform.,89178,226360
5164,coco-30k,a couple of buildings near a busy street,94905,178331
5165,coco-30k,a painting is hanging over a television in a room,19930,188818
5166,coco-30k,A dog is getting its picture taken from the driver's seat,63137,187349
5167,coco-30k,a shelf with a bunch of stuff on it,78706,334050
5168,coco-30k,A man races a motorcycle on a track.,16499,285192
5169,coco-30k,All of the people have their motorcycles parked.,62435,387773
5170,coco-30k,A white sink on a counter in a room.,85224,307784
5171,coco-30k,a small plane is flying in the sky,54122,286202
5172,coco-30k,Benches line the sidewalk of a city park in autumn.,97120,33647
5173,coco-30k,A man is taking a picture of his bathroom sink.,39236,22656
5174,coco-30k,A red headed boy sits hugging his Black Labrador dog.,28874,378561
5175,coco-30k,a woman is standing at a sink in a kitchen,70058,242365
5176,coco-30k,a wax head is looking out of a car window,30248,560474
5177,coco-30k,a woman is holding a spoon in a kitchen,83065,523660
5178,coco-30k,a mirror that has a big white sink on it,63675,238355
5179,coco-30k,Lots of people stand in a busy kitchen.,82715,290750
5180,coco-30k,The table  top was white with brown chairs,46899,496099
5181,coco-30k,Vegetables are displayed in a wooden barrel outdoors.,43903,579664
5182,coco-30k,A toilet is sitting in an empty bathroom with a shower.,98867,461692
5183,coco-30k,The plane was flying high near the flag in the air,12253,469174
5184,coco-30k,A person wearing a helmet is riding a motorcycle on a dirt road. ,18251,157417
5185,coco-30k,a bike chained to a metal pole on the sidewalk,99963,148668
5186,coco-30k,A motorcycle parked on the pavement near a building.,74137,297147
5187,coco-30k,a woman riding a little pink motorcycle by a car,44011,558587
5188,coco-30k,A blue van is parked next to a broken fire hydrant.,12811,384849
5189,coco-30k,a pink suitcase is in the back of a vehicle,55585,510782
5190,coco-30k,Two vintage motorcycles sitting in the grass on display.,20235,507187
5191,coco-30k,A person on a skateboard and bike at a skate park.,55193,87038
5192,coco-30k,A foot pushing a flush button in a blue tiled bathroom.,29538,280972
5193,coco-30k,a cup with toothbrushes and toothpaste and some soap,42541,369128
5194,coco-30k,The crowd is waiting for the event to begin.,60474,461248
5195,coco-30k,"A man with  a green hat, glasses, an Oregon State t-shirt, and blue jeans sits on a closed toilet.",15705,564163
5196,coco-30k,two trains go side by side down a street,43352,71345
5197,coco-30k,"A ""Virgin Records"" train next to a blue, yellow and red train at a subway station. ",50196,291067
5198,coco-30k,Table with water pitchers and bowls of fruit against the wall in huge kitchen,89400,188136
5199,coco-30k,A kitchen has a stove with cupcakes on top of it.,81974,526030
5200,coco-30k,A worn and a new sign for the same Mexican food restaurant.,96541,260657
5201,coco-30k,A white passenger train passing a parking lot at night.,6401,228942
5202,coco-30k,A cozy bed stands between two windows within an upstairs bedroom.,99878,70813
5203,coco-30k,A man and two women are standing beside an airplane.,2220,554459
5204,coco-30k,A picture of the entrance to an old house.,82249,464689
5205,coco-30k,A young man sitting on the windowsill of a store front talking on his phone.,79662,172315
5206,coco-30k,A CLEAN AND COLORFUL BATHROOM WITH A LARGE MIRROR,56694,325423
5207,coco-30k,"A small bathroom with a toilet, trash can and toilet brush",53619,245659
5208,coco-30k,An old rusty bus is parked next to a small church,58323,128262
5209,coco-30k,A small green car has a plaque with writing in front of it. ,44152,296012
5210,coco-30k,A kitchen with white cabinets and a grey counter top.,58972,213091
5211,coco-30k,A man is sitting on a motorcycle while a young girl looks at a helmet.,17266,441453
5212,coco-30k,a squat toilet inside of a small stall.,79306,260107
5213,coco-30k,A man wearing a suit and tie and red hat with a silver buckle.,87708,58539
5214,coco-30k,Two airliners on the snowy runway of an airport,14144,315672
5215,coco-30k,The bus stop is lined up with buses and people walking on the sidewalk. ,36353,62726
5216,coco-30k,a man that is in a store with a cell phone,65729,442417
5217,coco-30k,A man holds a controller and keyboard with his hands,47252,108026
5218,coco-30k,Two cats are shown sitting on a toilet.,50099,303099
5219,coco-30k,The woman is working on her laptop while the man is on the cell phone.,48192,493509
5220,coco-30k,There is a bowl of fresh fruit on the table.,95550,578203
5221,coco-30k,a lady that has a bowl in her hand,35843,485844
5222,coco-30k,The people are all watching and listening to the bikers on the corner of the road,82978,375450
5223,coco-30k,This photo shows a man in a chair with a toddler next to him.,25650,393777
5224,coco-30k,"A bathroom with a glassed in tub, toilet and sink",37611,246263
5225,coco-30k,A renovated kitchen with stainless steel appliances and a huge stove,37749,347558
5226,coco-30k,a man that is riding a bike on some concrete ,39793,111409
5227,coco-30k,A small bathroom with a shower curtain and toilet,17013,60364
5228,coco-30k,A cyclist pauses near the water to observe a canoe.,22716,395180
5229,coco-30k,a motorcycle is parked on the side of the street,13726,473936
5230,coco-30k,A person that is riding a dirt bike. ,11227,542101
5231,coco-30k,A woman is seen cleaning a perfectly white bathroom.,51774,32947
5232,coco-30k,Ornate cabinet displayed next to kitchen sink in residence.,12432,94317
5233,coco-30k,The living room has a dog sitting on the floor watching the television. ,81129,179441
5234,coco-30k,A cat is drinking water from the toilet bowl,74480,572075
5235,coco-30k,People are crossing the street through the crosswalk.,76651,515056
5236,coco-30k,An American Airlines airplane is sitting on the runway,21399,216115
5237,coco-30k,A small bathroom stall with a toilet and seat covers,17561,242907
5238,coco-30k,A person is shown riding a bicycle down the side of the road.,80650,158795
5239,coco-30k,A man riding on the back of a motorcycle next to another man.,35484,484450
5240,coco-30k,The organized kitchen of a busy family in a suburban home,98630,553129
5241,coco-30k,Close up of the flower extending from a banana tree stalk,53081,154633
5242,coco-30k,An airplane can be seen flying through cloudy skies.,33372,173737
5243,coco-30k,Three white urinals mounted to a bathroom wall.,14167,348045
5244,coco-30k,an all white and marble bathroom with a toilet and a sink in frame ,45372,252610
5245,coco-30k,point of view shot of man using a small urinal in bathroom,9649,306159
5246,coco-30k,A number of people riding bicycles in a metropolitan area.,63545,140197
5247,coco-30k,A giraffe eating leaves from a giant rock.,13943,48956
5248,coco-30k,A man on a motorcycle waits at the traffic light,9326,205002
5249,coco-30k,A kitchen filled with lots of counter top space.,64626,10844
5250,coco-30k,A white toilet sitting next to a brown chair.,76,287320
5251,coco-30k,a glass walled shower in a home bathroom,83998,374707
5252,coco-30k,A train passing by a field with a grounded airplane,75604,446113
5253,coco-30k,"Cars, truck and carriages are traveling on the road",88495,367680
5254,coco-30k,a bathroom with a toilet with a sink,83506,371883
5255,coco-30k,a living room with some fancy curtains behind a couch ,3029,244754
5256,coco-30k,a bathroom with a big mirror above the sink,72170,58029
5257,coco-30k,A keyboard and mouse along with other items on the desk ,63596,567686
5258,coco-30k,The plane is flying high in the sky.,76303,128461
5259,coco-30k,a boat filled with people going down a river,71607,248334
5260,coco-30k,two women stand on a train platform waiting to board.,84582,217312
5261,coco-30k,A white ceramic sink next to a toilet.,62900,299550
5262,coco-30k,Many planes are arranged in a large building.,74729,264683
5263,coco-30k,a man that has a pan on a stove,64560,253579
5264,coco-30k,A person is riding a motorcycle with dogs in a cage on the back of it.  ,20495,20748
5265,coco-30k,"A bathroom contains a toilet, a sink and a bathtub.",74058,268395
5266,coco-30k,a line of cars with a motorcycle in front,33100,178078
5267,coco-30k,a kitchen with a big sink and a rack for the pots,87908,510707
5268,coco-30k,A small bathroom has a toilet and litter box.,13098,484587
5269,coco-30k,This room has a wall with a mural on it.,55288,24053
5270,coco-30k,a person in a kitchen preparing food on a pan,49408,42620
5271,coco-30k,This is a colander with green apples in it.,1204,195113
5272,coco-30k,This is a view of mountains of a airplane.,89620,340398
5273,coco-30k,two large air planes on a run way,97437,524011
5274,coco-30k,Silver and red airplane flying through the air alone. ,52869,482907
5275,coco-30k,Two glass bowls of oranges add up to more than enough.,42813,529966
5276,coco-30k,Bird standing on car roof near covered pavilion.,93845,508602
5277,coco-30k,a boy carrying a big bag of food across his shoulders ,82691,44312
5278,coco-30k,These toilets are being used outside as decor,7836,482100
5279,coco-30k,Plane flying in sky above power line wires.,40017,490294
5280,coco-30k,This bathroom has a sleek counter top that wraps around the toilet.,98774,448320
5281,coco-30k,"On a TV screen, a dog is lying on the floor in front of a large picture with a dog's head on it.",67172,490869
5282,coco-30k,This bathroom has gray walls and white fixtures.,22922,523426
5283,coco-30k,This shot is of a crowded highway full of traffic,3077,61181
5284,coco-30k,A young man standing next to a bike,42068,101656
5285,coco-30k,Stacked washer dryer in kitchen near fridge and stove.,8569,97427
5286,coco-30k,stuffed animals are sitting together in a street corner,22360,119802
5287,coco-30k,This studio apartment has a twin size bed by the wall.,13552,70192
5288,coco-30k,There are many cars parked next to the ship.,51012,254919
5289,coco-30k,A giraffe behind a wire fence in a zoo.,538,360910
5290,coco-30k,The men are in the kitchen preparing the meal.,33465,170178
5291,coco-30k,a kitchen that makes food has pots and pans.,11216,418175
5292,coco-30k,A female wearing winter clothing standing next to a tent inside an unfinished building.,88823,445567
5293,coco-30k,a green train that is sitting on a train track,91711,528811
5294,coco-30k,this clean bathroom has all white fixtures in it,89255,304355
5295,coco-30k,a dining room table that is in a room,36708,392892
5296,coco-30k,a man is doing a jump on his board,42378,525227
5297,coco-30k,Whatever is in the cup does not please this woman.,93192,272253
5298,coco-30k,A stoplight and utility lines with a brick building.,27400,571504
5299,coco-30k,A modern bathroom is designed to be useful.,40548,106193
5300,coco-30k,Benches surround a pond in a park in autumn.,90790,560893
5301,coco-30k,A huge crowd is walking down one side of a street.,21477,377832
5302,coco-30k,The lights are on above the mirror of the bathroom sink.,26919,472445
5303,coco-30k,An adult and a child cross the city street at night.,74005,59732
5304,coco-30k,A man is staring out of a boat window.,64422,4772
5305,coco-30k,A plane is parked in an airport field.,62824,500049
5306,coco-30k,a pink toilet in a small flower patterned bathroom stall,56358,213309
5307,coco-30k,A man in a red shirt in a bathroom with two mirror and a photo,87828,15810
5308,coco-30k,A man is standing in a train in a train station.,28083,66717
5309,coco-30k,Two eyes peeping through two doors with a floor,34000,305159
5310,coco-30k,a person standing next to a parked motorcycle on a field ,77180,224322
5311,coco-30k,A bathroom with tan walls and fake tiled flooring. ,75568,24845
5312,coco-30k,"A bathroom with a sink, a fan and a mirrored medicine chest.",48464,235404
5313,coco-30k,An old man holding a plaque next to a motorcycle.,90920,67078
5314,coco-30k,A room with a desk and dresser holding a tv,48137,578343
5315,coco-30k,"A bathroom with a shower curtain, a toilet, a sink and cabinets.",91249,485452
5316,coco-30k,A large white castle like building with a statue in front. ,36249,448983
5317,coco-30k,A kitchen sink with cupboards of dishes stored above it.,39397,449296
5318,coco-30k,A motorcycle is parked in the gravel alongside a street.,14994,282130
5319,coco-30k,a person carrying their surfboard while walking along a beach,2655,323951
5320,coco-30k,A grey brick building with snow outside. ,59623,461092
5321,coco-30k,A group of people standing around a kitchen next to appliances.,90462,32932
5322,coco-30k,"A bathroom area with a tub, shelves and a sink.",98692,114303
5323,coco-30k,A grey motorcycle on dirt road next to a building.,57854,462756
5324,coco-30k,A group of smiling young children sit at a table in the library.,43613,243600
5325,coco-30k,A stone clock tower juts out from the fog below.,26655,142581
5326,coco-30k,A bike and a dog on the sidewalk outside a red building.,87103,49097
5327,coco-30k,"A man takes a picture in the bathroom mirror
",73725,229643
5328,coco-30k,a view of an air plane wing in the air ,77313,108169
5329,coco-30k,a bath room with a toilet and toilet paper ,89121,129322
5330,coco-30k,"A doorway view with a toilet, shower and a sink.",58113,373793
5331,coco-30k,a close up of a toilet with tiled walls ,60724,554900
5332,coco-30k,A bathroom with a white toilet sitting next to a  white tub.,14661,557677
5333,coco-30k,Petals gather along the edge of a pond in front of two park benches.,14960,381576
5334,coco-30k,A white toilet sitting below a bathroom window.,11963,173490
5335,coco-30k,Various items used for cooking a recipe atop a clean table.,41681,206147
5336,coco-30k,there is a cat sitting on a table next to a bike wheel ,7289,257036
5337,coco-30k,Several motorcycles lined up in a row in front of a old building.,46375,109323
5338,coco-30k,A man flying through the air while riding a skateboard.,27607,215151
5339,coco-30k,there are cars coming down the street to a green light,29241,35148
5340,coco-30k,A woman sits on a table and portrays a time gone by. ,34562,468027
5341,coco-30k,A old bench next to an old building.,63334,359203
5342,coco-30k,"A kitchen with a stove, oven, cabinets and blender.",98263,369082
5343,coco-30k,Large motorcycle sitting on a grassy area in a line.,40190,262161
5344,coco-30k,a man is riding a white bike down the street,4855,10393
5345,coco-30k,A person standing in a bathroom next to a white toilet.,43056,310543
5346,coco-30k,an old black and white photo of cars parked near a building ,89495,567197
5347,coco-30k,a brown wood counter with sink in a bathroom,28788,152298
5348,coco-30k,A man holding a book while sitting down.,92827,20161
5349,coco-30k,a person sitting on a bike near many other parked bikes ,8331,365652
5350,coco-30k,A giraffe leaning up to a tree to chew on a branch.,32705,456756
5351,coco-30k,Small woman with a cooking apron around her waste reaching into the oven and pulling out a plate of food.,45516,321811
5352,coco-30k,Small boy on a skateboard riding down the street way.,70314,539565
5353,coco-30k,The adult giraffe is standing near a metal fence.,90479,248810
5354,coco-30k,A standing toilet sitting inside of a bathroom stall.,14252,25014
5355,coco-30k,Two men herding a pack of elephants across a field.,55007,173799
5356,coco-30k,A bathroom shower with towel hanging from the door.,92313,396295
5357,coco-30k,The girl in this picture is not wearing many clothes.,93145,279149
5358,coco-30k,A room with a large cabinet filled with white towels.,51439,370818
5359,coco-30k,A white toilet bowl with a plunger standing near it,25196,6861
5360,coco-30k,An office cubicle with two computers on the desk,69948,527497
5361,coco-30k,A bunch of bananas sitting on top of a tiled floor.,82443,398818
5362,coco-30k,The woman is in the kitchen preparing a meal.,87205,293148
5363,coco-30k,A bathroom sink sitting under a mirror sitting next to a toilet.,4100,186822
5364,coco-30k,The man is riding his motorcycle while smoking a cigarette. ,60181,461751
5365,coco-30k,The two men are riding their motorcycles in the parking lot.,64880,339022
5366,coco-30k,A herd of giraffe standing around a lush green tree.,13113,86559
5367,coco-30k,A dog herding a group of sheep in a meadow,81156,225184
5368,coco-30k,AA tennis player sitting down drying himself off,5868,175864
5369,coco-30k,a baby giraffe sniffs an adult giraffe ,60111,112164
5370,coco-30k,A view of a bunch of sheep lined up with a man behind them.,56174,335631
5371,coco-30k,A little boy riding his bike and wearing a helmet,8677,210299
5372,coco-30k,A toilet and sink side by side in a bathroom and a mirror. ,81448,431140
5373,coco-30k,A man riding a bike down a street.,8933,69189
5374,coco-30k,A close-up shot of a metal squat toilet.,83774,305412
5375,coco-30k,A cat with its paws halfway into an open toilet.,40422,184557
5376,coco-30k,"A double headed shower, with the curtain open.",31318,510852
5377,coco-30k,This is the inside of someone's deejay station.,91620,316842
5378,coco-30k,A man is cooking food at an island with wine glasses and bottles with women watching.,35508,374430
5379,coco-30k,A large pitcher of some beverage is on the table next to orange slices.,13691,452684
5380,coco-30k,A bathroom door is open showing a shower with the shower curtain mostly open.,30078,163628
5381,coco-30k,A kitchen with a very messy counter space.,1145,7574
5382,coco-30k,An orange lying next to a green utensil.,12242,563730
5383,coco-30k,A cat is laying in front of a laptop and a monitor.  ,88661,137412
5384,coco-30k,BMX bikers waiting in sandy area for something with gear to ride.,21187,375554
5385,coco-30k,Columns of black motorcycles in front of very old buildings.,58950,572630
5386,coco-30k,An empty modern kitchen is lit at night,73613,227952
5387,coco-30k,a lady that is i a blue towel laying down,2544,287190
5388,coco-30k,A kitchen with a black automatic dishwasher next to a  doorway.,86585,9236
5389,coco-30k,A white car with chrome rims parked next to an older lady.,74806,463203
5390,coco-30k,A modern toilet is seen in this picture.,54688,204188
5391,coco-30k,a couple of giraffes are standing on a trail,94661,12319
5392,coco-30k,A bathroom with blue and white tiles and a white toilet,87533,209322
5393,coco-30k,"A dog being washed in a tub, with a sad look on its face.",95428,329011
5394,coco-30k,A family is in the kitchen preparing a meal.,82541,450359
5395,coco-30k,a man is shaving in a mirror in a bathroom,3187,130732
5396,coco-30k,People in a hall with a camera taking a picture,5567,176857
5397,coco-30k,A kitchen with brown cabinets and white appliances.,98333,241599
5398,coco-30k,"A view of a mirror with a stop sign, in the back.",76935,574242
5399,coco-30k,A man riding on the back of a motorcycle down a street.,68224,344125
5400,coco-30k,A woman is sitting on a bench with a dog behind her.,68523,349642
5401,coco-30k,A big teddy bear on a black motorcycle. ,17236,5965
5402,coco-30k,The front of a motor cycle against a black and white tiled floor.,81531,418288
5403,coco-30k,Red ties hanging like nooses in a museum. ,88826,430791
5404,coco-30k,A small child is sitting on a toilet with an electronic device.,18819,340034
5405,coco-30k,a man sitting on a motorcycle in a bike shop,67943,409970
5406,coco-30k,The refrigerator is cluttered with several different materials.,60295,228335
5407,coco-30k,A cyclist and bus splash past one another on the street.,7370,12993
