coco_id,source,prompt,evaluation_seed,case_number
268224,coco-30k,Three young people in a kitchen pointing to a pizza.,36210,129
206260,coco-30k,Assorted flavored donuts being grabbed by multiple hands.,77756,130
489528,coco-30k,An outside doorway to a restroom showing a destroyed wall and damaged floor.,30124,131
450308,coco-30k,A man stands with his bike in ankle deep water in a flooded city.,89971,132
221754,coco-30k,There is very little traffic at this city intersection.,1066,133
446409,coco-30k,A tabby cat laying on a cat scratcher in front of a bicycle wheel. ,47435,134
420958,coco-30k,This a view from an airplane of the landscape below.,2857,135
523400,coco-30k,"A bathroom with double sinks, mirrors, toilet and towel racks.",43009,136
40986,coco-30k,Raw cookies in a pan on the counter and baked cookies in a pan on the stove.,51873,137
8045,coco-30k,Tub and shower on platform in modern tiled bathroom.,44012,138
249025,coco-30k,An orange reddish rose in a vase filled with water on top of a table.,68992,139
255965,coco-30k,A cat pausing as it's picture is taken.,21718,140
529691,coco-30k,A row of park benches on the side of a green grassy hill. ,78007,141
482597,coco-30k,A man in an ATV is moving the cows along.,7552,142
51191,coco-30k,The view of a large bathroom with a walk in closet.,15294,143
249371,coco-30k,"Many sheep grazing in a large, green pasture.",56793,144
51598,coco-30k,A black trash bag in a restroom next to a sink.,91062,145
408364,coco-30k,A young man standing next to a race car with the red sox logo on it's hood.,47749,146
267862,coco-30k,A guy sitting on his motorcycle while a woman stands beside him,93338,147
536321,coco-30k,An adorable caleco cat sitting underneath a bicycle.,30304,148
148272,coco-30k,An adorable cat attempts to hide in a purse to steal the persons identity.,62285,149
36450,coco-30k,A very big teddy bear is next to a woman.,83334,150
138599,coco-30k,A BMW motor cycle parked next to shrub..,19005,151
501055,coco-30k,A photograph taken from an airplane window while in flight.,87363,152
445846,coco-30k,A clean kitchen with the windows white and open.,49142,153
363272,coco-30k,A man sitting on a stone block talking on a cell phone.,41014,154
231846,coco-30k,A yellow stripped cat sitting in a bathroom sink.,13464,155
260409,coco-30k,A person in a helmet standing by their motorcycle.,88045,156
220704,coco-30k,A cafeteria type kitchen that is not in use.,10412,157
158466,coco-30k,A young man jumping up into the air to catch a Frisbee.,72378,158
100138,coco-30k,A black motorcycle parked in front of trees.,86021,159
192871,coco-30k,A glass bowl filled with oranges on a table.,72208,160
349344,coco-30k,A yellow dune buggy on display amongst other automobiles.,22338,161
365642,coco-30k,A young attractive woman sitting on a toilette on the side of a street.,4296,162
317639,coco-30k,A woman is taking a picture of herself in a bathroom mirror.,40647,163
393569,coco-30k,A young woman using a laptop computer while sitting on a bunk bed.,20052,164
556837,coco-30k,A toilet in a stall with remote control buttons.,95809,165
282346,coco-30k,A skateboarder is riding his skateboard at night.,74803,166
116479,coco-30k,An old victorian style bed frame in a bedroom.,45518,167
63740,coco-30k,Two computers sitting on top of a desk.,38201,168
477016,coco-30k,A young child stands in the kitchen with an adult.,76099,169
172710,coco-30k,A woman kisses a man as they sit on a motorcycle.,7315,170
214274,coco-30k,A man and a woman cook in the kitchen.,33160,171
385757,coco-30k,A picture taken from the driver seat of car at a stop sign.,48874,172
181586,coco-30k,A black and white cat sits near a window looking outside.,44024,173
383464,coco-30k,The exterior of an airport with some planes.,8266,174
552979,coco-30k,A cat looking inside of a door from the outside.,42254,175
289714,coco-30k,A person in a kitchen looking at the oven.,64627,176
425690,coco-30k,An overview picture of a street at night.,87654,177
19523,coco-30k,two women loading their bicycles onto a bus rack,43624,178
570736,coco-30k,A view of a bathroom that is clean.,45536,179
510992,coco-30k,A picture of a white gas range with figurines above.,35501,180
278237,coco-30k,A street scene with several cars and a bus.,18246,181
319275,coco-30k,a person riding skis in the middle of a snowy street,85943,182
492937,coco-30k,A close up of a bike brake on a bicycle.,75512,183
430750,coco-30k,People walking toward an airplane to board it.,66961,184
370462,coco-30k,A ski resort that has a couple people outside. ,97940,185
205570,coco-30k,A woman uses a paintbrush on a melting candle.,78190,186
117425,coco-30k,A toddler celebrates his birthday with a cupcake.,83710,187
443351,coco-30k,One white motorcycle and one green motorcycle parked on the road,85041,188
97790,coco-30k,1 military jet fighter flying in formation alongside a 1 military propeller pilot. ,31506,189
375415,coco-30k,Fruit and vegetables are hanging in a metal basket.,90870,190
159977,coco-30k,A giraffe and a zebra checking each other out.,38299,191
576981,coco-30k,"Oranges in a basket, a pillow and a bottle of liquor.",12810,192
124766,coco-30k,A man wearing a blue bow tie and a fedora hat in a car. ,52790,193
498547,coco-30k,The kitchen has many grill with pots hanging all around.,740,194
561620,coco-30k,Light from an open door shines on a simple wooden pew in a church.,60177,195
239985,coco-30k,A dog with goggles is in a motorcycle side car.,39678,196
43098,coco-30k,A man is walking down the street in front of a red door.,27929,197
325374,coco-30k,A woman holding a sheep by its front legs.,64190,198
568265,coco-30k,A man flying a kite in a park on a clear day,85576,199
14297,coco-30k,A house boat along the water has bicycles on deck.,84693,200
30423,coco-30k,Four giraffes in the wild eating from trees.,98366,201
8180,coco-30k,A large airplane is on the airport runway.,60899,202
207652,coco-30k,A parked motorcycle with a red enclosed side car.,84614,203
232538,coco-30k,A yellow and blue train is next to an overhang.,73321,204
510150,coco-30k,A stoic looking cat sits in a green bowl.,86600,205
436972,coco-30k,A man in a uniform standing on a motorcycle in front of a crowd.,37142,206
564911,coco-30k,A oneworld passenger plane taking off from an airport.,24775,207
373193,coco-30k,A girl is sitting by her dog on the stairs.,55112,208
127585,coco-30k,An office with a leather couch surrounded by books.,58846,209
349590,coco-30k,Women taking picture of themselves while brushing their teeth.,21835,210
372413,coco-30k,Motorcyclist is taking a turn while onlookers observe ,79501,211
102625,coco-30k,An empty kitchen filled with dishes and appliances.,98854,212
145093,coco-30k,A stone building with a clock displayed on the outside. ,63897,213
100711,coco-30k,"Entertainment room with rack of dvds, tv and seating area.",83525,214
300216,coco-30k,A clean white bathroom with a simple mirror above the vanity.,34991,215
306313,coco-30k,An oven in a kitchen with a stove on top in between counter tops.,28527,216
349804,coco-30k,Three airplanes on display behind a high fence.,93680,217
548706,coco-30k,A bathroom sink and towels hanging on the door.,2501,218
271206,coco-30k,A white sink sitting underneath a round mirror.,1203,219
177934,coco-30k,A group of women operating a car wash.,13712,220
369763,coco-30k,A polie officer standing next to a  motorcycle parked on the street.,99063,221
312724,coco-30k,A group of different animals are grazing in the wild. ,39079,222
96549,coco-30k,An airplane on the runway either just landed or ready to take off.,83151,223
322604,coco-30k,A motorcycle rally on the street with many spectators.,71189,224
445002,coco-30k,an empty modern style bathroom for two people,10836,225
469192,coco-30k,A car is parked on dry grass with kites overhead.,55529,226
39430,coco-30k,Two sheep are looking over a cement wall.,39121,227
215708,coco-30k,People are looking at a decorative cake with long candles.,53653,228
123843,coco-30k,A white bathroom has a white shower curtain.,89257,229
175024,coco-30k,A person sits on top of a motorcycle with a stuffed toy.,57261,230
106900,coco-30k,"A woman, man, and a dog standing in the snow. ",17536,231
74132,coco-30k,A bathroom with a large bathtub and sink under a large mirror.,81949,232
428769,coco-30k,Car parked at meter with license plate that says SUPABAAD.,75009,233
69236,coco-30k,a wooden and metal bench near a over grown bush,84275,234
262594,coco-30k,People standing on a roadway next to a vintage motorcycle.,46814,235
32054,coco-30k,A dog standing next to an address marker and a woman holding an umbrella.,4572,236
56070,coco-30k,A motorcycle parked next to a yellow thing and tree.,63748,237
11334,coco-30k,A close up detail of an ornate brickwork cathedral,88938,238
81505,coco-30k,The plane is flying through a clear blue sky.  ,42391,239
555472,coco-30k,An elephant is crossing a road while a jeep is parked watching. ,61891,240
468858,coco-30k,An old floor standing tv next to a leather couch.,71695,241
104381,coco-30k,A car stopped at a traffic light with it's brake lights on.,97248,242
525667,coco-30k,People standing around a park bench next to a bicycle.,35295,243
549386,coco-30k,A man standing outside of a building next to bicycles.,59157,244
237920,coco-30k,Empty seats in front of a building on a sidewalk.,63329,245
155997,coco-30k,A dog rides in a cart pulled by a man on a bike.,2438,246
5879,coco-30k,Two bicycle riders riding in the city at night.,90436,247
93959,coco-30k,A white kitchen with marble countertops and stone floors.,94645,248
251075,coco-30k,A bathroom with a vanity mirror toilette and kitchen sink next to a shower.,26084,249
281950,coco-30k,A lone toilet sits in a large bathroom.,69399,250
370210,coco-30k,Two dogs in a car looking out the window.,72155,251
531111,coco-30k,A bathroom with a black and white checkered floor.,56732,252
499177,coco-30k,A man riding a dirt bike on a country road in a forest.,33001,253
75118,coco-30k,A fighter jet doing tricks with smoke trailing behind it.,37667,254
90732,coco-30k,A little girl is mixing in a  kitchen bowl while standing on a chair.,12361,255
301574,coco-30k,three motor cycle racers posing on their parked bikes,41815,256
241876,coco-30k,A cat on the lid of a toilet looking perturbed.,15004,257
34474,coco-30k,A home with lots of wood darkly stained.,32637,258
364113,coco-30k,Two people riding different colored horses down a dirty road.,44111,259
79920,coco-30k,A living room with a large tv and pictures all around.,81763,260
494629,coco-30k,A man sits on a toilet while working on his computer at his desk.,12466,261
61422,coco-30k,A bathroom with a sink and a toilet. ,94595,262
44652,coco-30k,A flying plane with smoke trailing behind it.,19308,263
210502,coco-30k,Part of train car with a door to the rear connected to the car behind it,51325,264
146961,coco-30k,A man is cooking in a crowded kitchen.,44170,265
9288,coco-30k,A toilet in a restroom next to a toilet paper dispenser,52285,266
136783,coco-30k,A rock wall next to a green tiled room.,54987,267
120157,coco-30k,A toilet bowl with no toilet seat in a restroom,71417,268
193680,coco-30k,Full grown cat laying down and sleeping on top of a car. ,15400,269
298396,coco-30k,Kitchen area with counter top space and dining room table. ,14390,270
565635,coco-30k,two lines of motorcycles driving down the road while a crowd watches,39890,271
561780,coco-30k,A group of older people sitting on a park bench with a dog on a leash.,31219,272
187513,coco-30k,A bathroom with a sliding shower door next to a toilet.,30354,273
230600,coco-30k,A toilet on the outside of a building next to a parking meter.,49199,274
552883,coco-30k,"A view of a kitchen with cabinets, a sink and a clothes washer.",1721,275
69293,coco-30k,"The bathroom toilet with the cover up, sink, and bathroom items are shown.",76545,276
369979,coco-30k,Several pieces of art and a painting on display,11217,277
21711,coco-30k,Motorcyclists and a bicycle are parked on a yard.,64958,278
293153,coco-30k,The sightseeing boat streams along the river joined by a plane,61324,279
20788,coco-30k,A woman hovering over food on a wooden table.,29479,280
228214,coco-30k,A Marine that is looking at his cell phone.,44841,281
424378,coco-30k,A man with glasses riding in a car with an adorable dog in the backseat.,11012,282
400456,coco-30k,A man riding on the back of a brown horse in front of a truck.,90092,283
186697,coco-30k,A peson riding a bike down a long narrow road.,81179,284
336384,coco-30k,An airliner taking off from an airport runway.,77880,285
154419,coco-30k,A dog wearing a protective cone around it's head watching TV.,16050,286
331366,coco-30k,A man riding a bicycle down a sidewalk.,61946,287
251639,coco-30k,A cat sniffing an upside down blue bicycle.,11792,288
372113,coco-30k,A celebration with cake for Navy members stationed in Thailand,30267,289
554625,coco-30k,a boy wearing headphones using one computer in a long row of computers,27322,290
453634,coco-30k,A bathroom with a toilette with it's seat down.,27268,291
297414,coco-30k,A kitchen filled with dishes and appliances with lots of cupboards..,11022,292
412693,coco-30k,Two adorable birds perched on a piece of bamboo.,4544,293
442609,coco-30k,A messy kitchen with pots and pans laying around.,71272,294
132901,coco-30k,A man and a woman standing next to a motor cycle.,26846,295
75101,coco-30k,A large bathroom with an enclosed toilet and a large sink.,56005,296
493753,coco-30k,An office desk holding multiple computers and various supplies.,71044,297
521906,coco-30k,A man wearing a striped suit standing next to butcher knives.,82626,298
353982,coco-30k,A woman sitting at a table while holding a pair of scissors.,23695,299
85316,coco-30k,An old picture of a family on their farm.,8004,300
201775,coco-30k,A bathroom with two urinals and a sink.,63220,301
527260,coco-30k,A kitchen cluttered with dishes with a stove and oven.,929,302
85145,coco-30k,An airplane flying in a blue sky with it's landing gear down.,49328,303
533900,coco-30k,A wooden bathroom with a wooden toilet next to a window.,91007,304
102735,coco-30k,Dog in parking lot and on a leash.,49060,305
56752,coco-30k,Man on a bicycle riding on the road next to a river.,84031,306
391375,coco-30k,A girl sitting on a bench in front of a stone wall.,60768,307
522137,coco-30k,Three Mercedes Benz on the top of a train as cargo ,21115,308
544713,coco-30k,A man sitting on a parked motorcycle on the street ,82340,309
448151,coco-30k,A birthday boy with car shaped cake and candles on it.,27392,310
537955,coco-30k,A brown dog standing on the kitchen floor looking up.,21474,311
557501,coco-30k,A bathroom is very colorful with blue yellow and red.,25275,312
327565,coco-30k,A collection of photos of an old motorcycle and parts.,74967,313
411564,coco-30k,A man sitting in a window ledge with a cell phone in his hand.,17262,314
438258,coco-30k,A little girl in ponytails holding on to a teddy bear.,38461,315
435880,coco-30k,A refrigerator next to a red wall in the kitchen. ,58673,316
555050,coco-30k,"A car driving in an intersection, past a furniture shop. ",12451,317
306444,coco-30k,A bathroom scene with focus on the toilet.,7448,318
139440,coco-30k,Six people in a boat rowing on a body of water.,56982,319
401411,coco-30k,A chef in a kitchen preparing a meal.,23006,320
31519,coco-30k,A group of rescue workers helping an overturned car,46136,321
220255,coco-30k,A large commercial airplane sitting on the runway.,43305,322
383601,coco-30k,A toilet with an object hanging off of it.,13833,323
154324,coco-30k,An empty bathroom with a shower next to a toilet.,49236,324
368978,coco-30k,A four engine jet transport airplane flying low.,15612,325
466085,coco-30k,A bathroom that has been gutted with the shower basin the only thing left.,34729,326
237428,coco-30k,A blonde woman sitting on a park bench next to a green bike.,75142,327
5802,coco-30k,Two men wearing aprons working in a commercial-style kitchen.,58071,328
272015,coco-30k,A park bench in front of a porch in a green grass filled park.,23299,329
108283,coco-30k,A rotten door leading into a restroom covered in filth.,11621,330
360673,coco-30k,A group of motorcycles parked side by side in front of a donuts shop.,83658,331
465877,coco-30k,A chef in a kitchen standing next to a counter with jars and containers.,50020,332
524954,coco-30k,A urinal is displayed with modern porcelain structuring.,45000,333
242363,coco-30k,"A bathroom with a sink, toilet and shower bathtub combination.",95062,334
488943,coco-30k,A European street scene with a motorcycle and a car.,36351,335
396673,coco-30k,Two large commercial airplanes sitting on the runway.,55018,336
8218,coco-30k,A building with a black and gold clock on it.,59338,337
140307,coco-30k,A group of people sitting around a table under an umbrella.,17056,338
27065,coco-30k,A towel hangs beneath a sink in a bathroom.,25319,339
442009,coco-30k,a bathroom with a bath tub near windows,7211,340
264599,coco-30k,A crowded city street with lots of people walking around.,85110,341
332653,coco-30k,A man stands next to a motorbike on some pavement.,99668,342
239252,coco-30k,An elaborate contraption on a water faucet for a bathtub.,68425,343
506906,coco-30k,Two cups of black coffee sitting next to a coffee pot. ,49696,344
34196,coco-30k,Two desktop computer monitors sitting on a desk with a keyboard and mouse.,98292,345
260627,coco-30k,A commuter train traveling down train track next to a rural road.,1323,346
13466,coco-30k,Two street signs are shown against more buildings.,8794,347
262514,coco-30k,A display of a toilet and sink in a store. ,54251,348
352151,coco-30k,a plane on an air port run way,34026,349
127987,coco-30k,A baseball player bobble head next to two computer monitors on a desk.,69917,350
57703,coco-30k,A man and two women walking their dogs and hiking in the woods.,10370,351
199951,coco-30k,a person riding a motorcycle on an enclosed road,51591,352
525420,coco-30k,A bathtub is beneath a torn down wall.,65821,353
567220,coco-30k,"An open door leading to a bathroom toilet, with a shower rack and bureau visible.",29285,354
236535,coco-30k,A small plane is taking off from a grassy field.,32084,355
568893,coco-30k,"A hotel room with a flat screen tv, chair, and bed. ",84139,356
62483,coco-30k,A young soldier has his picture taken with a young lady with an open jacket and brazier showing.,41120,357
137967,coco-30k,A cubicle desk with two laptops on it. ,49197,358
580255,coco-30k,Two big dogs ride beside one another on the same vehicle seat.,15245,359
99389,coco-30k,A motorcycle parked in front of a graffiti covered building.,27673,360
152649,coco-30k,A jumbo jet airplane in flight on a sunny day.,13761,361
294832,coco-30k,A bathroom with an enclosed shower next to a sink and a toilet.,85681,362
499281,coco-30k,A kitchen with a bag from Whole Foods on the counter. ,52184,363
73280,coco-30k,a brown and white kitchen with a silver refrigerator,7469,364
176828,coco-30k,A airplane banking to the right as it ascends into the sky,63501,365
288639,coco-30k,A calico cat drinking water from a running tap in a bathroom.,71120,366
420490,coco-30k,A kitchen with an island and window over the sink.,2112,367
528729,coco-30k,A man talking on a cell phone walking an orange bike across a street.,21961,368
196047,coco-30k,a bathroom with a toilet and a bath tub,69806,369
147042,coco-30k,"A kitchen refrigerator with numerous pictures held up by magnets, next to counters and a dining table and chairs.",80312,370
50411,coco-30k,A mounted police officer riding down a city street past parked cars.,66752,371
43771,coco-30k,A bathroom containing a toilet and a sink.,81133,372
120021,coco-30k,A motorcycle with a red seat is on top of a stand. ,28927,373
27517,coco-30k,A person holds a flip phone displaying the screen.,97884,374
92678,coco-30k,A couple flying a kite at dusk on the seaside.,71975,375
175942,coco-30k,A street view with a plane flying ahead.,78653,376
279343,coco-30k,A group of fighter jets sitting on an airport tarmac.,57308,377
486521,coco-30k,A hood lifted on a Chevrolet vehicle with a teddy bear on the side.,81849,378
564003,coco-30k,A restroom stall with a white toilet and a toilet paper dispenser.,44940,379
283910,coco-30k,A group of sheep being herded by a black dog.,64205,380
497099,coco-30k,A room filled with bathroom sinks and bath tubs.,32974,381
318361,coco-30k,a girl sitting at a kitchen table in a home,50376,382
115229,coco-30k,A  lawn sitting on a snowy sidewalk by a hydrant.,97276,383
148766,coco-30k,some white and blue porcelain designer toilet bowls,21258,384
562090,coco-30k,A bathroom with all black fixtures in it.,41285,385
166003,coco-30k,A small room with a heater and a desk filled with clutter.,54682,386
136793,coco-30k,a toilet a toilet paper roll and a newspaper,54505,387
368335,coco-30k,a brown horse is walking in between two cars,85742,388
383777,coco-30k,A man in hipster clothes straddling a bicycle on the sidewalk.,80269,389
422326,coco-30k,A modified motorcycle parked with other motorcycles on the pavement.,69725,390
162280,coco-30k,A small bathroom with focus on the shower curtain.,55642,391
211491,coco-30k,An older woman sits in a sweater at the beach.,1308,392
160345,coco-30k,A man is sitting on a bench reading a book.,38224,393
231236,coco-30k,A beige tiled bathroom with white fixtures and a mirror.,1350,394
264964,coco-30k,A pile of feces sits on the back of a public restroom toilet.,89011,395
28389,coco-30k,A plane parked next to a truck next to a house.,9645,396
423798,coco-30k,A street at night is lit up by streetlights.,89455,397
307993,coco-30k,a man is reading a book in a car with a small dog,54622,398
351711,coco-30k,A motorcycle parked next to a bunch more with a plastic sign in front of it.,57917,399
449279,coco-30k,Three birthday candles stand lit on a cake.,77092,400
140420,coco-30k,A motorcycle is parked on a dirt road in a forest.,46098,401
386613,coco-30k,An older floor light sits deserted in an abandoned hospital.,30039,402
391132,coco-30k,A bowl of peeled oranges sitting on a white bowl on a kitchen counter.,96145,403
204186,coco-30k,Racers riding four wheelers while a crowd watches.,42879,404
421195,coco-30k,A combination of black and white sheep grazing in a meadow,76418,405
555983,coco-30k,A blurry motion picture of a person doing a wheelie on a motorcycle.,68131,406
544975,coco-30k,Wild animals grazing near a lagoon surrounded by trees.,30885,407
370165,coco-30k,A person on a motor bike doing a wheelie jump,51053,408
514537,coco-30k,A wild animal drinks water from the toilet bowl.,79287,409
292648,coco-30k,A man in a wetsuit is holding his surfboard on the pier. ,88328,410
246233,coco-30k,A massive wooden ship beached on snow covered ground.,18637,411
170232,coco-30k,A bus driving down a street in a small city.,64718,412
524202,coco-30k,The Space Shuttle is being transported by a NASA jumbo jet.,59073,413
208169,coco-30k,A large number of people riding motorcycles down the road.,7074,414
376177,coco-30k,A group of people observing two planes at an air show. ,6908,415
40471,coco-30k,An older picture of a large kitchen with white appliances.,19558,416
